,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
0,Breaking Bad,2008,18+,9.5,96%,1,0,0,0,1
1,Stranger Things,2016,16+,8.8,93%,1,0,0,0,1
2,Money Heist,2017,18+,8.4,91%,1,0,0,0,1
3,Sherlock,2010,16+,9.1,78%,1,0,0,0,1
4,Better Call Saul,2015,18+,8.7,97%,1,0,0,0,1
5,The Office,2005,16+,8.9,81%,1,0,0,0,1
6,Black Mirror,2011,18+,8.8,83%,1,0,0,0,1
7,Supernatural,2005,16+,8.4,93%,1,0,0,0,1
8,Peaky Blinders,2013,18+,8.8,92%,1,0,0,0,1
9,Avatar: The Last Airbender,2005,7+,9.2,100%,1,0,0,0,1
10,The Walking Dead,2010,18+,8.2,81%,1,0,0,0,1
11,Dark,2017,16+,8.7,94%,1,0,0,0,1
12,Ozark,2017,18+,8.4,81%,1,0,0,0,1
13,Attack on Titan,2013,16+,8.8,94%,1,1,0,0,1
14,Narcos,2015,18+,8.8,89%,1,0,0,0,1
15,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,1,1,0,0,1
16,Community,2009,7+,8.5,88%,1,1,0,0,1
17,Mindhunter,2017,18+,8.6,96%,1,0,0,0,1
18,Parks and Recreation,2009,16+,8.6,93%,1,1,1,0,1
19,Dexter,2006,18+,8.6,72%,1,0,0,0,1
20,Marvel's Daredevil,2015,18+,8.6,92%,1,0,0,0,1
21,The Witcher,2019,18+,8.3,67%,1,0,0,0,1
22,Twin Peaks,1990,18+,8.8,89%,1,1,0,0,1
23,One-Punch Man,2015,16+,8.8,100%,1,1,0,0,1
24,Outlander,2014,18+,8.4,91%,1,0,0,0,1
25,House of Cards,2013,18+,8.7,78%,1,0,0,0,1
26,Shameless,2011,18+,8.6,85%,1,0,0,0,1
27,The Good Place,2016,16+,8.2,97%,1,1,0,0,1
28,The Haunting,2018,18+,8.7,93%,1,0,0,0,1
29,The Blacklist,2013,16+,8,91%,1,0,0,0,1
30,The Flash,2014,7+,7.7,89%,1,0,0,0,1
31,The Last Kingdom,2015,18+,8.4,91%,1,0,0,0,1
32,Mad Men,2007,16+,8.6,94%,1,0,0,0,1
33,Lucifer,2016,16+,8.2,87%,1,0,0,0,1
34,Orange Is the New Black,2013,18+,8.1,90%,1,0,0,0,1
35,Grey's Anatomy,2005,16+,7.6,83%,1,1,0,0,1
36,The End of the F***ing World,2017,18+,8.1,93%,1,0,0,0,1
37,Arrested Development,2003,16+,8.7,75%,1,1,0,0,1
38,The Vampire Diaries,2009,7+,7.7,85%,1,0,0,0,1
39,The Crown,2016,18+,8.7,89%,1,0,0,0,1
40,The 100,2014,16+,7.7,92%,1,0,0,0,1
41,When They See Us,2019,18+,8.9,96%,1,0,0,0,1
42,How to Get Away with Murder,2014,16+,8.1,88%,1,1,0,0,1
43,After Life,2019,18+,8.5,70%,1,0,0,0,1
44,Elite,2018,18+,7.6,97%,1,0,0,0,1
45,BoJack Horseman,2014,18+,8.7,93%,1,0,0,0,1
46,Never Have I Ever,2020,16+,8,97%,1,0,0,0,1
47,Penny Dreadful,2014,18+,8.2,91%,1,0,0,0,1
48,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%,1,0,0,0,1
49,Dead to Me,2019,18+,8.1,91%,1,0,0,0,1
50,Unorthodox,2020,18+,8.1,94%,1,0,0,0,1
51,Sense8,2015,18+,8.3,86%,1,0,0,0,1
52,Sacred Games,2018,18+,8.7,92%,1,0,0,0,1
53,American Crime Story,2016,18+,8.4,93%,1,0,0,0,1
54,Family Guy,1999,18+,8.1,71%,1,1,0,0,1
55,Pretty Little Liars,2010,16+,7.4,81%,1,1,0,0,1
56,Unbelievable,2019,18+,8.4,97%,1,0,0,0,1
57,Arrow,2012,16+,7.6,85%,1,0,0,0,1
58,The IT Crowd,2006,16+,8.5,87%,1,0,0,0,1
59,The Twilight Zone,1959,7+,9,82%,1,1,0,0,1
60,YOU,2018,18+,7.8,91%,1,0,0,0,1
61,Sex Education,2019,16+,8.3,94%,1,0,0,0,1
62,"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%,1,0,0,0,1
63,Star Trek: The Next Generation,1987,7+,8.6,89%,1,1,1,0,1
64,Broadchurch,2013,18+,8.4,92%,1,0,0,0,1
65,Kingdom,2019,18+,8.4,96%,1,0,0,0,1
66,Altered Carbon,2018,18+,8.1,64%,1,0,0,0,1
67,The Sinner,2017,16+,8,95%,1,0,0,0,1
68,"Love, Death & Robots",2019,18+,8.5,78%,1,0,0,0,1
69,Marvel's Jessica Jones,2015,18+,8,83%,1,0,0,0,1
70,New Girl,2011,16+,7.7,94%,1,0,0,0,1
71,The Good Wife,2009,16+,8.3,94%,1,1,1,0,1
72,The Umbrella Academy,2019,16+,7.9,77%,1,0,0,0,1
73,Marvel's The Punisher,2017,18+,8.5,63%,1,0,0,0,1
74,Ash vs Evil Dead,2015,18+,8.4,99%,1,0,0,0,1
75,Master of None,2015,18+,8.3,100%,1,0,0,0,1
76,Bodyguard,2018,18+,8.1,93%,1,0,0,0,1
77,Schitt's Creek,2015,16+,8.4,50%,1,0,1,0,1
78,Narcos: Mexico,2018,18+,8.4,88%,1,0,0,0,1
79,The West Wing,1999,16+,8.8,75%,1,0,0,0,1
80,Bates Motel,2013,18+,8.2,93%,1,0,0,0,1
81,Atypical,2017,18+,8.3,87%,1,0,0,0,1
82,Once Upon a Time,2011,7+,7.7,80%,1,0,0,0,1
83,Gomorrah,2014,18+,8.7,94%,1,0,0,0,1
84,Making a Murderer,2015,16+,8.6,84%,1,0,0,0,1
85,Death Note,2006,18+,9,,1,1,0,0,1
86,Castlevania,2017,18+,8.2,93%,1,0,0,0,1
87,Riverdale,2017,16+,7,86%,1,0,0,0,1
88,Burn Notice,2007,7+,7.9,88%,1,1,1,0,1
89,Fauda,2015,16+,8.3,100%,1,0,0,0,1
90,Russian Doll,2019,18+,7.9,96%,1,0,0,0,1
91,Our Planet,2019,7+,9.3,93%,1,0,0,0,1
92,Big Mouth,2017,18+,8,100%,1,0,0,0,1
93,American Horror Story,2011,18+,8,,1,1,1,0,1
94,Gotham,2014,16+,7.8,77%,1,0,0,0,1
95,I Am Not Okay with This,2020,18+,7.6,85%,1,0,0,0,1
96,Criminal Minds,2005,16+,8.1,,1,0,0,0,1
97,The Vietnam War,2017,18+,9.1,98%,1,0,0,0,1
98,Waco,2018,18+,7.9,68%,1,0,0,0,1
99,Star Trek,1966,7+,8.3,80%,1,1,1,0,1
100,The OA,2016,16+,7.9,84%,1,0,0,0,1
101,Outer Banks,2020,18+,7.6,72%,1,0,0,0,1
102,The Midnight Gospel,2020,18+,8.4,90%,1,0,0,0,1
103,Good Girls,2018,16+,7.9,87%,1,1,0,0,1
104,Chilling Adventures of Sabrina,2018,16+,7.6,84%,1,0,0,0,1
105,Doctor Foster,2015,16+,7.7,85%,1,0,0,0,1
106,Gilmore Girls,2000,16+,8.1,85%,1,0,0,0,1
107,iZombie,2015,16+,7.9,91%,1,0,0,0,1
108,Anne with an E,2017,7+,8.6,62%,1,0,0,0,1
109,A Series of Unfortunate Events,2017,7+,7.8,96%,1,0,0,0,1
110,Neon Genesis Evangelion,1995,16+,8.5,100%,1,0,0,0,1
111,Into the Badlands,2015,16+,8,83%,1,0,0,0,1
112,Monty Python's Flying Circus,1969,16+,8.8,100%,1,0,0,0,1
113,Jane the Virgin,2014,7+,7.8,100%,1,0,0,0,1
114,Halt and Catch Fire,2014,16+,8.4,90%,1,0,0,0,1
115,Grace and Frankie,2015,7+,8.3,89%,1,0,0,0,1
116,NCIS,2003,16+,7.8,40%,1,0,0,0,1
117,Weeds,2005,18+,7.9,70%,1,0,0,0,1
118,GLOW,2017,18+,8,93%,1,0,0,0,1
119,Person of Interest,2011,16+,8.4,,1,0,0,0,1
120,13 Reasons Why,2017,18+,7.8,39%,1,0,0,0,1
121,Godless,2017,16+,8.3,85%,1,0,0,0,1
122,Locked Up,2015,16+,8.3,100%,1,0,0,0,1
123,Mushi-Shi,2005,16+,8.5,100%,1,1,1,0,1
124,Gossip Girl,2008,16+,7.4,84%,1,0,0,0,1
125,Unbreakable Kimmy Schmidt,2015,16+,7.6,96%,1,0,0,0,1
126,Lost in Space,2018,7+,7.3,75%,1,0,0,0,1
127,Scandal,2012,16+,7.7,93%,1,0,0,0,1
128,Hunter x Hunter,2011,16+,8.9,,1,1,0,0,1
129,One Day at a Time,2017,7+,8.2,99%,1,0,0,0,1
130,DC's Legends of Tomorrow,2016,16+,6.8,87%,1,0,0,0,1
131,Manhunt,2017,16+,8.1,93%,1,0,0,0,1
132,Naruto,2002,7+,8.3,,1,1,0,0,1
133,Charmed,1998,16+,7.1,75%,1,0,0,0,1
134,The Dragon Prince,2018,7+,8.4,100%,1,0,0,0,1
135,Locke & Key,2020,16+,7.4,67%,1,0,0,0,1
136,Alias Grace,2017,18+,7.8,99%,1,0,0,0,1
137,American Vandal,2017,16+,8.2,97%,1,0,0,0,1
138,Santa Clarita Diet,2017,18+,7.8,89%,1,0,0,0,1
139,Maniac,2018,16+,7.8,85%,1,0,0,0,1
140,Star Trek: Deep Space Nine,1993,7+,7.9,90%,1,1,1,0,1
141,The Dark Crystal: Age of Resistance,2019,7+,8.5,87%,1,0,0,0,1
142,Colony,2016,16+,7.4,92%,1,0,0,0,1
143,Wild Wild Country,2018,16+,8.2,98%,1,0,0,0,1
144,Rectify,2013,16+,8.3,95%,1,0,0,0,1
145,Pose,2018,16+,8.6,96%,1,0,0,0,1
146,Marvel's Luke Cage,2016,18+,7.3,87%,1,0,0,0,1
147,Hollywood,2020,18+,7.7,57%,1,0,0,0,1
148,Derry Girls,2018,16+,8.4,97%,1,0,0,0,1
149,Dark Matter,2015,18+,7.5,89%,1,0,0,0,1
150,On My Block,2018,16+,8.1,97%,1,0,0,0,1
151,Law & Order: Special Victims Unit,1999,16+,8,,1,1,1,0,1
152,Longmire,2012,16+,8.3,88%,1,0,0,0,1
153,The Tudors,2007,18+,8.1,69%,1,0,0,0,1
154,HAPPY!,2017,18+,8.2,84%,1,0,0,0,1
155,The Stranger,2020,16+,7.3,89%,1,0,0,0,1
156,Call the Midwife,2012,7+,8.4,89%,1,0,0,0,1
157,Into the Night,2020,18+,7.2,83%,1,0,0,0,1
158,Mystery Science Theater 3000,1988,7+,8.5,80%,1,1,0,0,1
159,Resurrection: Ertugrul,2014,16+,7.7,,1,0,0,0,1
160,The Inbetweeners,2008,18+,8.4,54%,1,0,0,0,1
161,Reign,2013,16+,7.5,86%,1,0,0,0,1
162,Extras,2005,16+,8.3,89%,1,0,1,0,1
163,The Kominsky Method,2018,18+,8.2,90%,1,0,0,0,1
164,The 4400,2004,7+,7.3,95%,1,0,0,0,1
165,The Borgias,2011,18+,7.9,85%,1,0,0,0,1
166,Marco Polo,2014,18+,8,67%,1,0,0,0,1
167,Queer Eye,2018,16+,8.5,91%,1,0,0,0,1
168,The Spy,2019,18+,7.9,86%,1,0,0,0,1
169,Love,2016,18+,7.7,94%,1,0,0,0,1
170,Designated Survivor,2016,7+,7.5,71%,1,0,0,0,1
171,Ripper Street,2012,18+,8.1,100%,1,0,0,0,1
172,Feel Good,2020,,7.5,100%,1,0,0,0,1
173,Hell on Wheels,2011,16+,8.3,72%,1,0,0,0,1
174,The Fosters,2013,16+,7.9,97%,1,0,0,0,1
175,Hawaii Five-0,2010,16+,7.3,82%,1,0,0,0,1
176,Marvel's The Defenders,2017,18+,7.3,78%,1,0,0,0,1
177,Allo 'Allo!,1984,7+,8.3,,1,0,0,0,1
178,Supergirl,2015,7+,6.3,88%,1,0,0,0,1
179,Star Trek: Voyager,1995,7+,7.8,77%,1,1,1,0,1
180,Limitless,2015,16+,7.7,57%,1,0,0,0,1
181,Messiah,2020,18+,7.7,44%,1,0,0,0,1
182,The Shannara Chronicles,2016,16+,7.2,77%,1,0,0,0,1
183,Crash Landing on You,2019,16+,8.8,,1,0,0,0,1
184,Bleach,2004,18+,8.1,,1,1,0,0,1
185,Top Boy,2011,18+,8.4,95%,1,0,0,0,1
186,Jonathan Strange & Mr Norrell,2015,16+,8.2,91%,1,0,0,0,1
187,Haven,2010,16+,7.5,63%,1,0,0,0,1
188,Queen of the South,2016,16+,7.9,66%,1,0,0,0,1
189,Delhi Crime,2019,,8.5,91%,1,0,0,0,1
190,Hart of Dixie,2011,7+,7.7,81%,1,0,0,0,1
191,Bloodline,2015,18+,8,62%,1,0,0,0,1
192,Middleditch & Schwartz,2020,18+,8.7,100%,1,0,0,0,1
193,Haikyu!!,2014,16+,8.7,,1,1,0,0,1
194,Dirty Money,2018,16+,8.1,100%,1,0,0,0,1
195,Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.1,67%,1,0,0,0,1
196,Babylon Berlin,2017,18+,8.4,,1,0,0,0,1
