date,average
01-Jan,1573.5
02-Jan,1712.45
03-Jan,1795.25
04-Jan,1834.35
05-Jan,1824.35
06-Jan,1817.3
07-Jan,1790.85
08-Jan,1783.35
09-Jan,1785.3
10-Jan,1780.3
11-Jan,1779.95
12-Jan,1783.65
13-Jan,1747.6
14-Jan,1778.05
15-Jan,1754.7
16-Jan,1786.7
17-Jan,1787.55
18-Jan,1776.9
19-Jan,1777.55
20-Jan,1783.1
21-Jan,1756.6
22-Jan,1767.85
23-Jan,1797.6
24-Jan,1767.55
25-Jan,1771.55
26-Jan,1765.6
27-Jan,1765.3
28-Jan,1770.1
29-Jan,1775.15
30-Jan,1778.05
31-Jan,1783
01-Feb,1796.35
02-Feb,1770.5
03-Feb,1777.9
04-Feb,1779.75
05-Feb,1778
06-Feb,1800.45
07-Feb,1796.7
08-Feb,1776.7
09-Feb,1760.3
10-Feb,1793.35
11-Feb,1780.4
12-Feb,1788.25
13-Feb,1760.7
14-Feb,1811.4
15-Feb,1788.45
16-Feb,1783.95
17-Feb,1777.65
18-Feb,1789.3
19-Feb,1779.2
20-Feb,1789.55
21-Feb,1799
22-Feb,1780.75
23-Feb,1778.95
24-Feb,1795.65
25-Feb,1796.75
26-Feb,1776.15
27-Feb,1809.25
28-Feb,1822.9
29-Feb,1788.2
01-Mar,1812.6
02-Mar,1775.35
03-Mar,1789.8
04-Mar,1800.7
05-Mar,1800.9
06-Mar,1818
07-Mar,1808.45
08-Mar,1779.4
09-Mar,1766.95
10-Mar,1769.6
11-Mar,1782
12-Mar,1782.5
13-Mar,1782.45
14-Mar,1796.8
15-Mar,1772.9
16-Mar,1756.65
17-Mar,1771.5
18-Mar,1765.5
19-Mar,1787.9
20-Mar,1795.2
21-Mar,1777
22-Mar,1770.7
23-Mar,1746.9
24-Mar,1772.7
25-Mar,1755.65
26-Mar,1776.25
27-Mar,1794.65
28-Mar,1779.95
29-Mar,1748
30-Mar,1745.55
31-Mar,1767.95
01-Apr,1702.3
02-Apr,1755.25
03-Apr,1797.9
04-Apr,1805.9
05-Apr,1741.4
06-Apr,1738.05
07-Apr,1786.7
08-Apr,1764.55
09-Apr,1766.4
10-Apr,1786.3
11-Apr,1796.35
12-Apr,1772.65
13-Apr,1707.8
14-Apr,1748.9
15-Apr,1770.25
16-Apr,1794.3
17-Apr,1784.9
18-Apr,1783.65
19-Apr,1800.75
20-Apr,1767.45
21-Apr,1744.5
22-Apr,1767.4
23-Apr,1800.6
24-Apr,1784
25-Apr,1779.6
26-Apr,1810.2
27-Apr,1798.45
28-Apr,1807.1
29-Apr,1788.9
30-Apr,1811.35
01-May,1816.4
02-May,1811.6
03-May,1785.75
04-May,1776.2
05-May,1757.5
06-May,1765.1
07-May,1791.7
08-May,1829.25
09-May,1829.65
10-May,1826.5
11-May,1796.65
12-May,1804.9
13-May,1783.45
14-May,1833.85
15-May,1839.7
16-May,1825.7
17-May,1822.95
18-May,1811.15
19-May,1813.2
20-May,1806.4
21-May,1831.45
22-May,1854.7
23-May,1859.75
24-May,1837.95
25-May,1784.9
26-May,1766.25
27-May,1803.15
28-May,1818.15
29-May,1787.7
30-May,1808.4
31-May,1790.5
01-Jun,1820.85
